year,team,average_batter_age,runs_per_game,games,plate_appearances,at_bats,runs,hits,doubles,triples,homeruns,RBI,bases_on_balls,strikeouts,batting_average,total_bases,sacrifice_hits,sacrifice_flies,champions
2021,SSG Landers,30.9,5.26,143,5698,4864,752,1268,203,13,184,709,634,1045,0.261,2049,55,52,0
2021,Doosan Bears,29,5.13,143,5606,4867,733,1306,234,17,109,693,556,938,0.268,1901,45,52,0
2021,Lotte Giants,29,5.06,143,5689,4978,723,1384,263,10,106,693,576,963,0.278,1985,37,45,0
2021,Kiwoom Heroes,27.1,5.01,143,5610,4839,716,1250,243,28,90,666,589,1048,0.258,1819,34,55,0
2021,KT Wiz,29.4,4.97,143,5581,4773,711,1263,217,11,104,666,639,1041,0.265,1814,68,43,0
2021,Samsung Lions,30,4.9,143,5505,4798,701,1280,203,17,130,659,538,893,0.267,1907,47,67,0
2021,NC Dinos,29,4.87,143,5492,4772,697,1244,202,17,168,665,507,1086,0.261,1984,59,43,1
2021,LG Twins,28.4,4.56,143,5496,4721,652,1185,208,11,109,619,586,919,0.251,1742,51,45,0
2021,Hanwha Eagles,25.6,4.17,143,5460,4651,596,1104,211,17,80,551,632,1278,0.237,1589,54,49,1
2021,Kia Tigers,27.9,3.97,143,5546,4800,567,1193,183,21,65,545,595,914,0.249,1613,41,37,0
2020,NC Dinos,29.6,6.17,144,5832,5102,888,1483,258,28,187,845,529,997,0.291,2358,46,51,0
2020,Doosan Bears,30.1,5.67,144,5776,5046,816,1477,263,20,125,778,551,796,0.293,2155,38,73,0
2020,KT Wiz,28.5,5.65,144,5762,5047,813,1432,238,21,163,767,554,1097,0.284,2201,64,45,1
2020,LG Twins,29.5,5.57,144,5681,4999,802,1384,253,29,149,760,509,969,0.277,2142,49,49,1
2020,Kiwoom Heroes,26.7,5.27,144,5721,4945,759,1332,254,25,127,713,608,1030,0.269,2017,43,52,1
2020,Lotte Giants,29.9,5.21,144,5669,4958,750,1366,252,6,131,711,569,875,0.276,2023,39,48,1
2020,Kia Tigers,28.8,5.03,144,5642,4937,724,1355,224,13,130,692,535,957,0.275,1995,63,38,1
2020,Samsung Lions,28.2,4.85,144,5574,4923,699,1317,211,12,129,658,486,990,0.268,1939,50,53,1
2020,SK Wyverns,29.5,4.4,144,5502,4839,634,1212,177,17,143,595,511,981,0.251,1852,49,34,1
2020,Hanwha Eagles,28.7,3.83,144,5483,4862,551,1189,195,12,79,523,462,1163,0.245,1645,45,25,1
2019,Kiwoom Heroes,26.5,5.42,144,5658,4991,780,1405,251,38,112,741,514,943,0.282,2068,36,48,1
2019,Doosan Bears,29.5,5.11,144,5670,4913,736,1364,235,31,84,691,563,799,0.278,1913,39,83,1
2019,NC Dinos,28.7,4.68,144,5631,4968,674,1383,249,26,128,639,456,880,0.278,2068,64,60,1
2019,SK Wyverns,30.8,4.55,144,5541,4919,655,1290,218,14,117,622,462,966,0.262,1887,35,38,1
2019,KT Wiz,28.2,4.51,144,5582,4965,650,1375,187,20,103,615,475,975,0.277,1911,45,45,1
